	Make	Model	Price	Year	Kilometer	Fuel Type	Transmission	Location	Color	Owner	Seller Type	Engine	Max Power	Max Torque	Drivetrain	Length	Width	Height	Seating Capacity	Fuel Tank Capacity
19	Hyundai	Creta 1.6 E Petrol	740000	2016	60125	Petrol	Manual	Delhi	Silver	First	Individual	1591 cc	122 bhp @ 6400 rpm	154 Nm @ 4850 rpm	FWD	4270.0	1780.0	1630.0	5.0	60.0
20	Maruti Suzuki	S-Presso VXi AMT	470000	2020	2169	Petrol	Automatic	Mumbai	Grey	First	Individual	998 cc	67 bhp @ 5500 rpm	90 Nm @ 3500 rpm	FWD	3565.0	1520.0	1564.0	5.0	27.0
21	Volkswagen	Vento Comfortline Petrol AT	765000	2015	60240	Petrol	Automatic	Bangalore	Brown	First	Individual	1197 cc	103 bhp @ 5000 rpm	153 Nm @ 3800 rpm	FWD	4384.0	1699.0	1466.0	5.0	55.0
22	Hyundai	Santro Sportz AMT [2018-2020]	589000	2018	13772	Petrol	Automatic	Bangalore	White	First	Individual	1086 cc	68 bhp @ 5500 rpm	99 Nm @ 4500 rpm	FWD	3610.0	1645.0	1560.0	5.0	35.0
23	Hyundai	Venue SX 1.0 (O) Petrol [2019-2020]	999000	2019	27464	Petrol	Manual	Bangalore	Blue	First	Individual	998 cc	118 bhp @ 6000 rpm	172 Nm @ 1500 rpm	FWD	3995.0	1770.0	1605.0	5.0	45.0
25	Maruti Suzuki	Ritz Zxi BS-IV	325000	2013	23086	Petrol	Manual	Mumbai	Grey	First	Individual	1197 cc	85 bhp @ 6000 rpm	113 Nm @ 4500 rpm	FWD	3775.0	1680.0	1620.0	5.0	43.0
26	Hyundai	Creta 1.6 SX Plus Petrol	1175000	2019	36313	Petrol	Manual	Mumbai	Grey	First	Individual	1591 cc	122 bhp @ 6400 rpm	154 Nm @ 4850 rpm	FWD	4270.0	1780.0	1630.0	5.0	60.0
27	Honda	Brio V MT	351000	2014	39276	Petrol	Manual	Mumbai	Red	First	Individual	1198 cc	87 bhp @ 6000 rpm	109 Nm @ 4500 rpm	FWD	3610.0	1680.0	1500.0	5.0	35.0
28	Hyundai	Elite i20 Asta 1.2	551000	2015	47752	Petrol	Manual	Mumbai	White	First	Individual	1197 cc	82 bhp @ 6000 rpm	115 Nm @ 4000 rpm	FWD	3985.0	1734.0	1505.0	5.0	45.0
29	Honda	WR-V VX MT Petrol	819999	2018	27963	Petrol	Manual	Delhi	White	First	Individual	1199 cc	89 bhp @ 6000 rpm	110 Nm @ 4800 rpm	FWD	3999.0	1734.0	1601.0	5.0	40.0
30	Hyundai	Venue SX 1.0 Turbo iMT	990000	2020	24013	Petrol	Manual	Mumbai	Blue	First	Individual	998 cc	118 bhp @ 6000 rpm	172 Nm @ 1500 rpm	FWD	3995.0	1770.0	1605.0	5.0	45.0
32	Ford	Ecosport Titanium+ 1.0L EcoBoost	535000	2015	28000	Petrol	Manual	Mumbai	Silver	First	Individual	999 cc	124 bhp @ 6000 rpm	170 Nm @ 1400 rpm	FWD	3999.0	1765.0	1708.0	5.0	52.0
33	Honda	CR-V 2.4 AT	860000	2013	67000	Petrol	Automatic	Mumbai	Brown	First	Individual									
35	Tata	Tiago Revotron XE [2016-2019]	409000	2018	27069	Petrol	Manual	Mumbai	White	First	Individual	1199 cc	84 bhp @ 6000 rpm	114 Nm @ 3500 rpm	FWD	3746.0	1647.0	1535.0	5.0	35.0
41	Toyota	Corolla Altis VL AT Petrol	1095000	2016	45000	Petrol	Automatic	Mumbai	Black	First	Individual	1798 cc	138 bhp @ 6400 rpm	173 Nm @ 4000 rpm	FWD	4620.0	1775.0	1475.0	5.0	55.0
43	Mercedes-Benz	SLK-Class SLK 200 K	2400000	2010	34105	Petrol	Automatic	Mumbai	Grey	First	Individual	1796 cc	165@5500	240@3000	RWD	4082.0	1777.0	1297.0	2.0	70.0
44	Hyundai	Elite i20 Asta 1.2	525000	2015	68397	Petrol	Manual	Patna	Gold	First	Individual	1197 cc	82 bhp @ 6000 rpm	115 Nm @ 4000 rpm	FWD	3985.0	1734.0	1505.0	5.0	45.0
46	Maruti Suzuki	Baleno Delta 1.2	605000	2019	27469	Petrol	Manual	Delhi	Silver	First	Individual	1197 cc	83 bhp @ 6000 rpm	115 Nm @ 4000 rpm	FWD	3995.0	1745.0	1500.0	5.0	37.0
47	Maruti Suzuki	Celerio VXi AMT	412000	2016	41058	Petrol	Automatic	Delhi	Silver	First	Individual	998 cc	67 bhp @ 6000 rpm	90 Nm @ 3500 rpm	FWD	3600.0	1600.0	1560.0	5.0	35.0
49	Maruti Suzuki	Ciaz VXi	511000	2015	45969	Petrol	Manual	Mumbai	Silver	First	Individual	1373 cc	91 bhp @ 6000 rpm	130 Nm @ 4000 rpm	FWD	4490.0	1730.0	1485.0	5.0	43.0
51	Hyundai	Creta SX Plus 1.6  Petrol	885000	2016	57983	Petrol	Manual	Mumbai	White	First	Individual	1591 cc	122 bhp @ 6400 rpm	154 Nm @ 4850 rpm	FWD	4270.0	1780.0	1630.0	5.0	60.0
52	Renault	Kwid 1.0 RXT AMT Opt	470000	2019	11183	Petrol	Automatic	Mumbai	Silver	First	Individual	999 cc	67 bhp @ 5500 rpm	91 Nm @ 4250 rpm	FWD	3679.0	1579.0	1478.0	5.0	28.0
54	Tata	Tiago Revotron XZA [2017-2019]	475000	2017	34867	Petrol	Automatic	Mumbai	Silver	Second	Individual	1199 cc	84 bhp @ 6000 rpm	114 Nm @ 3500 rpm	FWD	3746.0	1647.0	1535.0	5.0	35.0
59	Honda	Brio S MT	440000	2016	50374	Petrol	Manual	Vadodara	White	First	Individual	1198 cc	87 bhp @ 6000 rpm	109 Nm @ 4500 rpm	FWD	3610.0	1680.0	1500.0	5.0	35.0
60	BMW	3-Series 320i Luxury Line	2800000	2017	15900	Petrol	Automatic	Delhi	White	First	Individual	1998 cc	181 bhp @ 5000 rpm	270 Nm @ 1350 rpm	RWD	4633.0	1811.0	1429.0	5.0	57.0
61	Honda	City V Petrol [2017-2019]	645000	2017	64000	Petrol	Manual	Mumbai	White	First	Individual	1497 cc	117 bhp @ 6600 rpm	145 Nm @ 4600 rpm	FWD	4440.0	1695.0	1495.0	5.0	40.0
63	Maruti Suzuki	Vitara Brezza ZXi Plus	1044999	2021	24000	Petrol	Manual	Mumbai	Silver	First	Individual	1462 cc	103 bhp @ 6000 rpm	138 Nm @ 4400 rpm	FWD	3995.0	1790.0	1640.0	5.0	48.0
64	Maruti Suzuki	Eeco 7 STR [2019-2020]	515000	2019	40310	Petrol	Manual	Pune	Grey	Second	Individual	1196 cc	73 bhp @ 6000 rpm	101 Nm @ 3000 rpm	RWD	3675.0	1475.0	1800.0	7.0	40.0
65	Hyundai	Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016]	455000	2015	69700	Petrol	Automatic	Mumbai	Blue	First	Individual	1197 cc	79 bhp @ 6000 rpm	112 Nm @ 4000 rpm	FWD	3765.0	1660.0	1520.0	5.0	43.0
68	Honda	Civic 1.8S MT	190000	2006	130000	Petrol	Manual	Deoghar	Maroon	Third	Individual	1799 cc	130 bhp @ 6300 rpm	171.62 Nm @ 4300 rpm	FWD	4545.0	1750.0	1450.0	5.0	50.0
70	Maruti Suzuki	Swift ZXi Plus AMT	775000	2021	24000	Petrol	Automatic	Agra	Grey	First	Individual	1197 cc	89 bhp @ 6000 rpm	113 Nm @ 4400 rpm	FWD	3845.0	1735.0	1530.0	5.0	37.0
73	Honda	City V CVT Petrol [2017-2019]	865000	2017	49013	Petrol	Automatic	Mumbai	Grey	First	Individual	1497 cc	117 bhp @ 6600 rpm	145 Nm @ 4600 rpm	FWD	4440.0	1695.0	1495.0	5.0	40.0
75	Honda	Jazz VX Petrol	570000	2017	92270	Petrol	Manual	Mumbai	Brown	First	Individual	1199 cc	89 bhp @ 6000 rpm	110 Nm @ 4800 rpm	FWD	3955.0	1694.0	1544.0	5.0	40.0
76	Volkswagen	Polo Highline1.2L (P)	385000	2013	65000	Petrol	Manual	Mumbai	White	First	Individual	1198 cc	74 bhp @ 5400 rpm	110 Nm @ 3750 rpm	FWD	3970.0	1682.0	1453.0	5.0	45.0
78	Toyota	Camry 2.5L AT	2345000	2017	47000	Petrol	Automatic	Delhi	Brown	First	Individual	2494 cc	179 bhp @ 6000 rpm	233 Nm @ 4100 rpm	FWD	4825.0	1825.0	1480.0	5.0	70.0
79	Mahindra	Thar LX 4-STR Hard Top Petrol AT	1650000	2022	10000	Petrol	Automatic	Jalandhar	Black	First	Individual	1997 cc	150 bhp @ 5000 rpm	320 Nm @ 1500 rpm	AWD	3985.0	1820.0	1844.0	4.0	57.0
82	Maruti Suzuki	Baleno Sigma 1.2	545000	2017	61518	Petrol	Manual	Noida	Red	First	Individual	1197 cc	83 bhp @ 6000 rpm	115 Nm @ 4000 rpm	FWD	3995.0	1745.0	1500.0	5.0	37.0
84	Maruti Suzuki	Baleno Zeta 1.2	615000	2017	36058	Petrol	Manual	Mumbai	Silver	First	Individual	1197 cc	83 bhp @ 6000 rpm	115 Nm @ 4000 rpm	FWD	3995.0	1745.0	1500.0	5.0	37.0
86	Volkswagen	Vento Comfortline Petrol	430000	2015	98112	Petrol	Manual	Mumbai	Brown	First	Individual	1598 cc	103 bhp @ 5250 rpm	153 Nm @ 3800 rpm	FWD	4384.0	1699.0	1466.0	5.0	55.0
88	Toyota	Camry Hybrid	1599000	2015	92355	Petrol	Automatic	Mumbai	Silver	First	Individual	2494 cc	202 bhp @ 5700 rpm	270 Nm @ 4500 rpm	FWD	4825.0	1825.0	1480.0	5.0	65.0
89	Maruti Suzuki	DZire VXi	691000	2019	16652	Petrol	Manual	Ahmedabad	White	First	Individual	1197 cc	89 bhp @ 6000 rpm	113 Nm @ 4400 rpm	FWD	3995.0	1735.0	1515.0	5.0	37.0
95	Porsche	Cayenne Coupe Platinum Edition	16200000	2022	2766	Petrol	Automatic	Mumbai	Blue	First	Individual	2995 cc	335 bhp @ 5300 rpm	450 Nm @ 1340 rpm	AWD	4931.0	1983.0	1676.0	4.0	75.0
96	Mercedes-Benz	C-Class Cabriolet C 300	5100000	2017	56000	Petrol	Automatic	Ghaziabad	White	Second	Individual	1991 cc	241 bhp @ 5500 rpm	370 Nm @ 1300 rpm	RWD	4686.0	1810.0	1409.0	4.0	59.0
97	Hyundai	Elite i20 Magna 1.2	525000	2015	68766	Petrol	Manual	Mumbai	Silver	First	Individual	1197 cc	82 bhp @ 6000 rpm	115 Nm @ 4000 rpm	FWD	3985.0	1734.0	1505.0	5.0	45.0
98	Hyundai	Verna 1.6 VTVT SX	750000	2018	16339	Petrol	Manual	Kolkata	Black	First	Individual	1591 cc	121 bhp @ 6300 rpm	158 Nm @ 4200 rpm	FWD	4375.0	1700.0	1475.0	5.0	43.0
99	Honda	Amaze 1.2 SX i-VTEC	445000	2016	63882	Petrol	Manual	Mumbai	Bronze	First	Individual	1198 cc	87 bhp @ 6000 rpm	109 Nm @ 4500 rpm	FWD	3990.0	1680.0	1505.0	5.0	35.0
100	Toyota	Corolla Altis 1.8 G	493000	2012	28732	Petrol	Manual	Zirakpur	Silver	First	Individual	1798 cc	138 bhp @ 6400 rpm	173 Nm @ 4000 rpm	FWD	4540.0	1760.0	1480.0	5.0	55.0
101	Hyundai	Elite i20 Sportz 1.2 (O)	611000	2017	51349	Petrol	Manual	Nagpur	Red	First	Individual	1197 cc	82 bhp @ 6000 rpm	115 Nm @ 4000 rpm	FWD	3985.0	1734.0	1505.0	5.0	45.0
102	Hyundai	Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016]	475000	2014	61866	Petrol	Automatic	Thane	White	First	Individual	1197 cc	79 bhp @ 6000 rpm	112 Nm @ 4000 rpm	FWD	3765.0	1660.0	1520.0	5.0	43.0
103	Hyundai	Creta SX Plus 1.6  Petrol	925000	2017	29401	Petrol	Manual	Mumbai	Grey	First	Individual	1591 cc	122 bhp @ 6400 rpm	154 Nm @ 4850 rpm	FWD	4270.0	1780.0	1630.0	5.0	60.0
108	Honda	Brio S MT	229000	2013	38175	Petrol	Manual	Kolkata	Blue	First	Individual									
109	Mahindra	Thar LX 4-STR Hard Top Petrol MT	1575000	2021	8519	Petrol	Manual	Mumbai	Blue	First	Individual	1997 cc	150 bhp @ 5000 rpm	300 Nm @ 1250 rpm	AWD	3985.0	1820.0	1844.0	4.0	57.0
110	Honda	City 1.5 S MT	375000	2011	78000	Petrol	Manual	Pune	Bronze	First	Individual	1497 cc	118@6600	146@4600	FWD	4420.0	1695.0	1480.0	5.0	42.0
114	Skoda	Rapid Ambition 1.6 MPI AT Plus	425000	2014	24000	Petrol	Automatic	Mumbai	Beige	Second	Individual	1598 cc	104 bhp @ 5250 rpm	153 Nm @ 3800 rpm	FWD	4386.0	1699.0	1466.0	5.0	55.0
115	Maruti Suzuki	Alto 800 Lxi	250000	2015	62000	Petrol	Manual	Kanpur	Maroon	Second	Individual	796 cc	47 bhp @ 6000 rpm	69 Nm @ 3500 rpm	FWD	3395.0	1490.0	1475.0	5.0	35.0
121	Hyundai	Elite i20 Asta (O) 1.0 Turbo DCT	1245000	2021	10530	Petrol	Automatic	Bangalore	Red	First	Individual	998 cc	118 bhp @ 6000 rpm	172 Nm @ 1500 rpm	FWD	3995.0	1775.0	1505.0	5.0	37.0
122	Hyundai	Elite i20 Asta 1.2	549000	2015	61900	Petrol	Manual	Gurgaon	Silver	First	Individual	1197 cc	82 bhp @ 6000 rpm	115 Nm @ 4000 rpm	FWD	3985.0	1734.0	1505.0	5.0	45.0
124	Maruti Suzuki	Swift DZire VXI	415000	2014	57402	Petrol	Manual	Delhi	Grey	First	Individual	1197 cc	85 bhp @ 6000 rpm	114 Nm @ 4000 rpm	FWD	3995.0	1695.0	1555.0	5.0	42.0
126	Hyundai	Grand i10 Sportz 1.2 Kappa VTVT [2013-2016]	375000	2015	87500	Petrol	Manual	Gurgaon	Grey	First	Individual	1197 cc	81 bhp @ 6000 rpm	114 Nm @ 4000 rpm	FWD	3765.0	1660.0	1520.0	5.0	43.0
128	Hyundai	Creta SX (O) 1.4 Turbo 7 DCT Dual Tone [2022-2022]	1875000	2022	18000	Petrol	Automatic	Delhi	Black	First	Individual	1353 cc	138 bhp @ 6000 rpm	242 Nm @ 1500 rpm	FWD	4300.0	1790.0	1635.0	5.0	50.0
129	Audi	Q2 Premium Plus I 40 TFSI quattro	2950000	2020	10700	Petrol	Automatic	Ahmedabad	White	First	Individual	1984 cc	188 bhp @ 4200 rpm	320 Nm @ 1500 rpm	AWD	4318.0	1805.0	1548.0	5.0	55.0
131	Hyundai	Elite i20 Asta (O) 1.0 Turbo DCT	1050000	2020	16282	Petrol	Automatic	Pune	White	First	Individual	998 cc	118 bhp @ 6000 rpm	172 Nm @ 1500 rpm	FWD	3995.0	1775.0	1505.0	5.0	37.0
133	Maruti Suzuki	Wagon R VXI	345000	2017	72019	Petrol	Manual	Ranchi	Silver	Second	Individual	998 cc	67 bhp @ 6200 rpm	90 Nm @ 3500 rpm	FWD	3599.0	1495.0	1700.0	5.0	35.0
136	Hyundai	Grand i10 Magna 1.2 Kappa VTVT [2013-2016]	484999	2018	55221	Petrol	Manual	Mumbai	White	First	Individual	1197 cc	81 bhp @ 6000 rpm	114 Nm @ 4000 rpm	FWD	3765.0	1660.0	1520.0	5.0	43.0
138	Maruti Suzuki	Ritz VXI BS-IV	210000	2011	58888	Petrol	Manual	Delhi	Maroon	Second	Individual									
139	Audi	Q5 45 TFSI Premium Plus	5651000	2022	1	Petrol	Automatic	Delhi	Blue	UnRegistered Car	Individual	1984 cc	248 bhp @ 5000 rpm	370 Nm @ 1600 rpm	AWD	4663.0	1898.0	1659.0	5.0	70.0
140	Renault	Duster RXS 1.5 Petrol MT	890000	2020	23500	Petrol	Manual	Chennai	White	First	Individual	1498 cc	105 bhp @ 5600 rpm	142 Nm @ 4000 rpm	FWD	4360.0	1822.0	1695.0	5.0	50.0
141	Maruti Suzuki	Swift DZire VXI	325000	2012	68000	Petrol	Manual	Kanpur	White	Second	Individual	1197 cc	85 bhp @ 6000 rpm	114 Nm @ 4000 rpm	FWD	3995.0	1695.0	1555.0	5.0	42.0
142	Hyundai	Creta SX 1.6 AT Petrol	1390000	2019	29096	Petrol	Automatic	Mumbai	White	First	Individual	1591 cc	122 bhp @ 6400 rpm	151 Nm @ 4850 rpm	FWD	4270.0	1780.0	1665.0	5.0	55.0
143	Hyundai	Grand i10 Magna 1.2 Kappa VTVT [2013-2016]	459999	2016	61223	Petrol	Manual	Kanpur	White	First	Individual	1197 cc	81 bhp @ 6000 rpm	114 Nm @ 4000 rpm	FWD	3765.0	1660.0	1520.0	5.0	43.0
146	Hyundai	i20 Magna 1.2	385000	2013	79287	Petrol	Manual	Kanpur	White	First	Individual	1197 cc	83 bhp @ 6000 rpm	113.796 Nm @ 4000 rpm	FWD	3995.0	1710.0	1505.0	5.0	45.0
151	Maruti Suzuki	Baleno Alpha 1.2	655000	2016	38779	Petrol	Manual	Mumbai	Blue	First	Individual	1197 cc	83 bhp @ 6000 rpm	115 Nm @ 4000 rpm	FWD	3995.0	1745.0	1500.0	5.0	37.0
154	Hyundai	Verna Fluidic 1.6 VTVT SX	699000	2017	67000	Petrol	Manual	Navi Mumbai	White	First	Individual	1591 cc	121 bhp @ 6300 rpm	158 Nm @ 4200 rpm	FWD	4370.0	1700.0	1475.0	5.0	43.0
159	Hyundai	Xcent S 1.2 (O)	490000	2015	23103	Petrol	Manual	Udupi	White	First	Individual	1197 cc	81 bhp @ 6000 rpm	114 Nm @ 4000 rpm	FWD	3995.0	1660.0	1520.0	5.0	43.0
160	Mercedes-Benz	S-Class Maybach S 500	11500000	2016	27000	Petrol	Automatic	Delhi	Blue	First	Individual	4663 cc	453 bhp @ 5250 rpm	700 Nm @ 1800 rpm	RWD	5453.0	1899.0	1498.0	4.0	70.0
161	Hyundai	Creta SX 1.6 AT Petrol	1475000	2019	9576	Petrol	Automatic	Bangalore	White	First	Individual	1591 cc	122 bhp @ 6400 rpm	151 Nm @ 4850 rpm	FWD	4270.0	1780.0	1665.0	5.0	55.0
162	MG	Hector Sharp 1.5 DCT Petrol [2019-2020]	1729000	2020	27000	Petrol	Automatic	Panvel	Silver	First	Individual	1451 cc	141 bhp @ 5000 rpm	250 Nm @ 1600 rpm		4655.0	1835.0	1760.0	5.0	60.0
163	MG	Astor Sharp 1.5 CVT	1764999	2021	1942	Petrol	Automatic	Bangalore	Red	First	Individual	1498 cc	108 bhp @ 6000 rpm	144 Nm @ 4400 rpm	FWD	4323.0	1809.0	1650.0	5.0	48.0
164	Honda	CR-V 2.4 AT	250000	2006	119300	Petrol	Automatic	Pune	Black	Third	Individual	2354 cc	152@6000	215@3600	AWD	4630.0	1780.0	1710.0	5.0	58.0
165	Maruti Suzuki	Alto 800 Lxi	245000	2016	55000	Petrol	Manual	Faridabad	White	First	Individual	796 cc	47 bhp @ 6000 rpm	69 Nm @ 3500 rpm	FWD	3395.0	1490.0	1475.0	5.0	35.0
167	Hyundai	Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018]	550000	2017	61400	Petrol	Manual	Aurangabad	Grey	First	Individual	1197 cc	81 bhp @ 6000 rpm	114 Nm @ 4000 rpm	FWD	3765.0	1660.0	1520.0	5.0	43.0
168	Honda	City V	675000	2016	87693	Petrol	Manual	Pune	Red	First	Individual	1497 cc	117 bhp @ 6600 rpm	145 Nm @ 4600 rpm	FWD	4440.0	1695.0	1495.0	5.0	40.0
169	Mercedes-Benz	C-Class C 200 Avantgarde	2225000	2015	31000	Petrol	Automatic	Mumbai	Blue	First	Individual	1991 cc	181 bhp @ 5500 rpm	300 Nm @ 1200 rpm	RWD	4686.0	1810.0	1442.0	5.0	66.0
171	Skoda	Fabia Elegance 1.6 MPI	225000	2012	69000	Petrol	Manual	Mumbai	Silver	First	Individual	1598 cc	105 bhp @ 5250 rpm	153 Nm @ 3800 rpm	FWD	4000.0	1642.0	1522.0	5.0	45.0
173	Kia	Sonet GTX Plus 1.0 DCT [2020-2021]	1055000	2020	15000	Petrol	Automatic	Kolkata	Gold	First	Individual	998 cc	118 bhp @ 6000 rpm	172 Nm @ 1500 rpm	FWD	3995.0	1790.0	1647.0	5.0	45.0
177	Maruti Suzuki	Wagon R VXi	350000	2013	45000	Petrol	Manual	Pune	White	First	Individual	998 cc	68@6200	90@3500		3539.0	1495.0	1700.0	5.0	35.0
182	Hyundai	Elite i20 Magna 1.2	575000	2015	67000	Petrol	Manual	Hyderabad	White	First	Individual	1197 cc	82 bhp @ 6000 rpm	115 Nm @ 4000 rpm	FWD	3985.0	1734.0	1505.0	5.0	45.0
186	Maruti Suzuki	S-Presso VXi	430000	2020	5790	Petrol	Manual	Hyderabad	Silver	First	Individual	998 cc	67 bhp @ 5500 rpm	90 Nm @ 3500 rpm	FWD	3565.0	1520.0	1564.0	5.0	27.0
191	Honda	City VX (O) MT	975000	2019	56881	Petrol	Manual	Lucknow	Silver	First	Individual	1497 cc	117 bhp @ 6600 rpm	145 Nm @ 4600 rpm	FWD	4440.0	1695.0	1495.0	5.0	40.0
201	Honda	City 1.5 S AT	295000	2009	70200	Petrol	Automatic	Mumbai	Grey	Second	Individual	1497 cc	118@6600	146@4600	FWD	4420.0	1695.0	1480.0	5.0	42.0
202	Mercedes-Benz	C-Class 200 CGI	1300000	2012	64800	Petrol	Automatic	Delhi	Silver	First	Individual	1796 cc	186 bhp @ 5600 rpm	285 Nm @ 4000 rpm	RWD	4596.0	1770.0	1447.0	5.0	66.0
206	Maruti Suzuki	Alto 800 Lxi	286000	2017	40564	Petrol	Manual	Jamshedpur	Silver	First	Individual	796 cc	47 bhp @ 6000 rpm	69 Nm @ 3500 rpm	FWD	3395.0	1490.0	1475.0	5.0	35.0
208	Skoda	Rapid Style AT	1125000	2020	46807	Petrol	Automatic	Bangalore	Red	First	Individual	999 cc	109 bhp @ 5000 rpm	175 Nm @ 1750 rpm	FWD	4413.0	1699.0	1466.0	5.0	55.0
209	Tata	Nexon XMA Petrol	580000	2018	81000	Petrol	Automatic	Valsad	Red	First	Individual	1198 cc	108 bhp @ 5000 rpm	170 Nm @ 1750 rpm	FWD	3994.0	1811.0	1607.0	5.0	44.0
210	Maruti Suzuki	Swift DZire VXI	495000	2015	13716	Petrol	Manual	Pune	Silver	First	Individual	1197 cc	85 bhp @ 6000 rpm	114 Nm @ 4000 rpm	FWD	3995.0	1695.0	1555.0	5.0	42.0
213	Skoda	Rapid Monte Carlo 1.6 MPI MT	885000	2018	38000	Petrol	Manual	Bangalore	Red	First	Individual	1598 cc	104 bhp @ 5200 rpm	153 Nm @ 3750 rpm	FWD	4413.0	1699.0	1466.0	5.0	55.0
214	Audi	RS5 4.2 Coupe	3650000	2012	25500	Petrol	Automatic	Mumbai	Blue	Second	Corporate	4163 cc	444 bhp @ 8250 rpm	430 Nm @ 4000 rpm	AWD	4649.0	1860.0	1366.0	5.0	64.0
215	Hyundai	Grand i10 NIOS Magna AMT 1.2 Kappa VTVT	715000	2020	17000	Petrol	Automatic	Bangalore	Silver	First	Individual	1197 cc	82 bhp @ 6000 rpm	114 Nm @ 4000 rpm	FWD	3805.0	1680.0	1520.0	5.0	37.0
216	Mercedes-Benz	R-Class R350 4MATIC	2485000	2012	44724	Petrol	Automatic	Bangalore	White	First	Individual	3496 cc	272 bhp @ 6000 rpm	350 Nm @ 5000 rpm	AWD	5157.0	2183.0	1659.0	7.0	80.0
220	Honda	City 1.5 S MT	295000	2010	78000	Petrol	Manual	Zirakpur	White	First	Corporate	1497 cc	118@6600	146@4600	FWD	4420.0	1695.0	1480.0	5.0	42.0
221	Renault	Kwid RXT Opt	375000	2019	55000	Petrol	Manual	Varanasi	Silver	First	Individual	799 cc	53 bhp @ 5678 rpm	72 Nm @ 4386 rpm	FWD	3679.0	1579.0	1478.0	5.0	28.0
222	Audi	A6 2.0 TFSi Technology Pack	7200000	2021	20000	Petrol	Automatic	Bangalore	White	UnRegistered Car	Individual	1984 cc	180 bhp @ 4000 rpm	320 Nm @ 1500 rpm	FWD	4915.0	1874.0	1455.0	5.0	75.0
