	Make	Model	Price	Year	Kilometer	Fuel Type	Transmission	Location	Color	Owner	Seller Type	Engine	Max Power	Max Torque	Drivetrain	Length	Width	Height	Seating Capacity	Fuel Tank Capacity
111	Mercedes-Benz	E-Class E 250 CDI Avantgarde	2250000	2015	48000	Diesel	Automatic	Mumbai	White	First	Individual	2143 cc	204 bhp @ 4200 rpm	500 Nm @ 1600 rpm	RWD	4879.0	1854.0	1474.0	5.0	80.0
112	Toyota	Fortuner 3.0 4x2 AT	1400000	2014	143000	Diesel	Automatic	Faridabad	White	Second	Individual	2982 cc	169 bhp @ 3600 rpm	360 Nm @ 1400 rpm	RWD	4705.0	1840.0	1850.0	7.0	80.0
113	Tata	Zest XM 75 PS Diesel	425000	2017	39000	Diesel	Manual	Ranchi	Silver	First	Commercial Registration	1248 cc	74 bhp @ 4000 rpm	190 Nm @ 1750 rpm	FWD	3995.0	1706.0	1570.0	5.0	44.0
116	Maruti Suzuki	Ertiga VDi	425000	2012	78000	Diesel	Manual	Jalandhar	White	Second	Individual	1248 cc	89 bhp @ 4000 rpm	200 Nm @ 1750 rpm	FWD	4265.0	1695.0	1685.0	7.0	45.0
118	Ford	Figo Duratorq Diesel ZXI 1.4	235000	2014	82000	Diesel	Manual	Ludhiana	White	Second	Individual	1399 cc	68 bhp @ 4000 rpm	160 Nm @ 2000 rpm	FWD	3795.0	1680.0	1427.0	5.0	45.0
119	Audi	A3 35 TDI Technology + Sunroof	3050000	2020	40910	Diesel	Automatic	Bangalore	White	First	Individual	1968 cc	141 bhp @ 3500 rpm	320 Nm @ 1750 rpm	FWD	4456.0	1796.0	1416.0	5.0	50.0
120	Tata	Harrier XZ Plus	2145000	2020	10290	Diesel	Manual	Bangalore	Red	First	Individual	1956 cc	168 bhp @ 3750 rpm	350 Nm @ 1750 rpm	FWD	4598.0	1894.0	1706.0	5.0	50.0
123	Volkswagen	Polo Highline1.2L (D)	484999	2013	78000	Diesel	Manual	Bangalore	White	Second	Individual	1199 cc	74 bhp @ 4200 rpm	180 Nm @ 2000 rpm	FWD	3970.0	1682.0	1453.0	5.0	45.0
130	Audi	Q7 45 TDI Premium Plus	4900000	2018	78000	Diesel	Automatic	Chandigarh	Black	First	Individual	2967 cc	245 bhp @ 2910 rpm	600 Nm @ 1500 rpm	AWD	5052.0	1968.0	1740.0	7.0	75.0
132	Hyundai	Verna Fluidic 1.6 CRDi SX	470000	2013	66000	Diesel	Manual	Amritsar	Grey	Third	Individual	1582 cc	126 bhp @ 4000 rpm	260 Nm @ 1900 rpm	FWD	4370.0	1700.0	1475.0	5.0	43.0
134	BMW	5-Series 520d Sedan	1490000	2013	195000	Diesel	Automatic	Hyderabad	White	First	Individual	1995 cc	184 bhp @ 4000 rpm	380 Nm @ 1750 rpm	RWD	4899.0	2094.0	1464.0	5.0	
135	Mahindra	Scorpio 2.6 Turbo 7 Str	550000	2007	92170	Diesel	Manual	Ranchi	White	Second	Individual	2609 cc	116@3800	277@1700	RWD	4495.0	1817.0	1975.0	7.0	60.0
137	Toyota	Fortuner 2.8 4x2 AT [2016-2020]	3350000	2018	25000	Diesel	Automatic	Noida	White	First	Individual	2755 cc	174 bhp @ 3400 rpm	450 Nm @ 1600 rpm	RWD	4795.0	1855.0	1835.0	7.0	80.0
144	Jeep	Compass Limited (O) 2.0 Diesel [2017-2020]	1075000	2017	86000	Diesel	Manual	Ludhiana	White	First	Individual	1956 cc	171 bhp @ 3750 rpm	350 Nm @ 1750 rpm	FWD	4395.0	1818.0	1640.0	5.0	60.0
145	Hyundai	Verna EX 1.6 CRDi [2017-2018]	484999	2013	87000	Diesel	Manual	Ludhiana	White	First	Individual	1582 cc	126 bhp @ 4000 rpm	260 Nm @ 1500 rpm	FWD	4440.0	1729.0	1475.0	5.0	45.0
147	Mercedes-Benz	GLC 220 d Sport	4400000	2018	47009	Diesel	Automatic	Pune	Blue	Second	Individual									
148	Audi	A6 35 TDI Matrix	3900000	2018	48945	Diesel	Automatic	Goa	Black	First	Corporate	1968 cc	190 bhp @ 3800 rpm	400 Nm @ 1750 rpm	FWD	4933.0	1874.0	1455.0	5.0	75.0
149	Mahindra	Marazzo M2 8 STR	1050000	2019	17000	Diesel	Manual	Lucknow	Green	First	Individual	1497 cc	121 bhp @ 3500 rpm	300 Nm @ 1750 rpm	FWD	4585.0	1866.0	1774.0	8.0	45.0
150	Kia	Seltos HTX Plus 1.5 Diesel [2020-2021]	1575000	2019	55000	Diesel	Manual	Lucknow	Silver	First	Individual	1493 cc	113 bhp @ 4000 rpm	250 Nm @ 1500 rpm	FWD	4315.0	1800.0	1645.0	5.0	50.0
152	Mercedes-Benz	E-Class E 220d Expression [2019-2019]	4500000	2019	72000	Diesel	Automatic	Pune	White	First	Individual	1950 cc	192 bhp @ 3800 rpm	400 Nm @ 1600 rpm	RWD	5063.0	1860.0	1494.0	5.0	80.0
153	Maruti Suzuki	Ertiga ZDI + SHVS	865000	2016	67000	Diesel	Manual	Navi Mumbai	White	First	Individual	1248 cc	89 bhp @ 4000 rpm	200 Nm @ 1750 rpm	FWD	4296.0	1695.0	1685.0	7.0	45.0
155	Hyundai	Verna Fluidic 1.6 CRDi SX	425000	2012	70000	Diesel	Manual	Jalandhar	White	Second	Individual	1582 cc	126 bhp @ 4000 rpm	260 Nm @ 1900 rpm	FWD	4370.0	1700.0	1475.0	5.0	43.0
156	Land Rover	Discovery Sport S	6500000	2020	6000	Diesel	Automatic	Hyderabad	White	First	Individual	1999 cc	177 bhp @ 4000 rpm	430 Nm @ 1750 rpm	AWD	4600.0	2069.0	1724.0	7.0	70.0
157	Toyota	Fortuner 2.8 4x2 AT [2016-2020]	2900000	2017	46000	Diesel	Automatic	Delhi	White	First	Individual	2755 cc	174 bhp @ 3400 rpm	450 Nm @ 1600 rpm	RWD	4795.0	1855.0	1835.0	7.0	80.0
158	Mercedes-Benz	GLE 250 d	4550000	2017	34000	Diesel	Automatic	Navi Mumbai	Silver	First	Individual	2143 cc	201 bhp @ 3800 rpm	500 Nm @ 1600 rpm	AWD	4819.0	2141.0	1796.0	5.0	93.0
166	Renault	Duster 85 PS RxL	490000	2015	98000	Diesel	Manual	Jamshedpur	White	Second	Individual	1461 cc	84 bhp @ 3750 rpm	200 Nm @ 1900 rpm	FWD	4315.0	1822.0	1695.0	5.0	50.0
170	Hyundai	Elite i20 Asta 1.4 (O) CRDi	560000	2016	75210	Diesel	Manual	Ahmedabad	White	First	Individual	1396 cc	89 bhp @ 4000 rpm	220 Nm @ 1500 rpm	FWD	3985.0	1734.0	1505.0	5.0	40.0
172	Skoda	Rapid 1.5 TDI CR Ambition Plus AT	499000	2014	88000	Diesel	Automatic	Pune	Black	Second	Individual	1498 cc	103 bhp @ 4400 rpm	250 Nm @ 1500 rpm	FWD	4386.0	1699.0	1466.0	5.0	55.0
174	Mahindra	XUV500 W11 AT	2048999	2020	45350	Diesel	Automatic	Bangalore	White	First	Individual	2179 cc	153 bhp @ 3750 rpm	360 Nm @ 1750 rpm	FWD	4585.0	1890.0	1785.0	7.0	70.0
175	BMW	3-Series 320d Luxury Line	2775000	2018	68189	Diesel	Automatic	Jaipur	Brown	First	Individual	1995 cc	188 bhp @ 4000 rpm	400 Nm @ 1750 rpm	RWD	4633.0	1811.0	1429.0	5.0	57.0
176	Mercedes-Benz	GLA 200 CDI Sport	1650000	2015	75000	Diesel	Automatic	Faridabad	White	First	Individual	2143 cc	134 bhp @ 3600 rpm	300 Nm @ 1600 rpm	FWD	4417.0	1804.0	1494.0	5.0	50.0
178	Audi	A6 35 TDI Premium	1450000	2014	33000	Diesel	Automatic	Faridabad	Red	Second	Individual	1968 cc	177 bhp @ 3750 rpm	380 Nm @ 1750 rpm	FWD	4915.0	1874.0	1455.0	5.0	65.0
179	Mahindra	Scorpio VLX 2WD BS-IV	600000	2014	83000	Diesel	Manual	Rudrapur	White	Second	Individual	2179 cc	120 bhp @ 4000 rpm	290 Nm @ 1800 rpm	RWD	4430.0	1817.0	1975.0	8.0	60.0
180	BMW	5-Series 520d Sedan	1250000	2012	78000	Diesel	Automatic	Mohali	Black	First	Individual	1995 cc	184 bhp @ 4000 rpm	380 Nm @ 1750 rpm	RWD	4899.0	2094.0	1464.0	5.0	
181	Toyota	Fortuner 3.0 4x4 MT	1675000	2014	211000	Diesel	Manual	Jaipur	White	First	Individual	2982 cc	169 bhp @ 3600 rpm	343 Nm @ 1400 rpm	AWD	4705.0	1840.0	1850.0	7.0	80.0
183	Ford	Ecosport Titanium+ 1.5L TDCi	699000	2017	75000	Diesel	Manual	Mumbai	Grey	First	Individual	1498 cc	99 bhp @ 3750 rpm	205 Nm @ 1750 rpm	FWD	3999.0	1765.0	1708.0	5.0	52.0
184	Audi	Q7 3.0 TDI quattro Premium Plus	2450000	2014	48600	Diesel	Automatic	Nashik	Blue	Second	Individual	2967 cc	241 bhp @ 3800 rpm	550 Nm @ 1750 rpm	AWD	5089.0	1983.0	1737.0	6.0	100.0
185	Mercedes-Benz	C-Class C 250 d	2775000	2016	48000	Diesel	Automatic	Delhi	Black	First	Individual	2143 cc	204 bhp @ 3800 rpm	500 Nm @ 1600 rpm	RWD	4686.0	1810.0	1442.0	5.0	66.0
187	Mahindra	Scorpio S5 2WD 7 STR	1165000	2018	32000	Diesel	Manual	Patna	White	First	Individual	2179 cc	120 bhp @ 4000 rpm	280 Nm @ 1800 rpm	RWD	4456.0	1820.0	1995.0	7.0	60.0
188	MG	Hector Sharp 2.0 Diesel Turbo MT	1780000	2020	65433	Diesel	Manual	Lucknow	Black	First	Individual	1956 cc	169 bhp @ 3750 rpm	350 Nm @ 1750 rpm	FWD	4655.0	1835.0	1760.0	5.0	60.0
189	Maruti Suzuki	Swift VDi BS-IV	295000	2011	87230	Diesel	Manual	Hyderabad	Silver	First	Individual	1248 cc	75@4000	190@2000	FWD	3760.0	1690.0	1530.0	5.0	43.0
190	Maruti Suzuki	Swift ZDi	495000	2017	38258	Diesel	Manual	Varanasi	White	Second	Individual	1248 cc	74 bhp @ 4000 rpm	190 Nm @ 2000 rpm	FWD	3840.0	1735.0	1530.0	5.0	37.0
192	Toyota	Innova 2.5 G4 7 STR	645000	2013	76000	Diesel	Manual	Kanpur	Grey	Second	Individual	2494 cc	102@5600	200@1400		4555.0	1770.0	1755.0	7.0	55.0
193	Renault	Duster 110 PS RxL Diesel	425000	2014	72000	Diesel	Manual	Ludhiana	White	Second	Individual	1461 cc	108 bhp @ 3900 rpm	248 Nm @ 2250 rpm	FWD	4315.0	1822.0	1695.0	5.0	50.0
194	Audi	Q3 2.0 TDI quattro Premium	1350000	2012	72000	Diesel	Automatic	Hyderabad	White	UnRegistered Car	Individual	1968 cc	174 bhp @ 4200 rpm	380 Nm @ 1750 rpm	AWD	4385.0	1831.0	1608.0	5.0	64.0
195	Mercedes-Benz	M-Class 350 CDI	3200000	2014	60514	Diesel	Automatic	Pune	Silver	First	Individual	2987 cc	234@3800	535@1600	AWD	4781.0	1911.0	1774.0	5.0	95.0
196	Volvo	V40 Cross Country D3	1250000	2013	71141	Diesel	Automatic	Navi Mumbai	Silver	First	Individual	1984 cc	150 bhp @ 3500 rpm	350 Nm @ 1500 rpm	FWD	4370.0	1783.0	1458.0	5.0	60.0
197	BMW	5-Series 530d M Sport [2013-2017]	5600000	2018	40937	Diesel	Automatic	Chennai	White	First	Individual	2993 cc	258 bhp @ 4000 rpm	560 Nm @ 1500 rpm	RWD	4899.0	2094.0	1464.0	5.0	65.0
198	Maruti Suzuki	Swift DZire VDI	560000	2013	37000	Diesel	Manual	Salem	Gold	First	Individual	1248 cc	74 bhp @ 4000 rpm	190 Nm @ 2000 rpm	FWD	3995.0	1695.0	1555.0	5.0	42.0
199	Mahindra	Scorpio S5 2WD 7 STR	1221000	2019	46000	Diesel	Manual	Patna	White	First	Individual	2179 cc	120 bhp @ 4000 rpm	280 Nm @ 1800 rpm	RWD	4456.0	1820.0	1995.0	7.0	60.0
200	BMW	X5 xDrive 30d M Sport	2975000	2015	86999	Diesel	Automatic	Mohali	Yellow	First	Individual	2993 cc	258 bhp @ 4000 rpm	560 Nm @ 1500 rpm	AWD	4886.0	1938.0	1762.0	5.0	
203	Hyundai	Creta 1.6 SX Plus AT	950000	2016	73000	Diesel	Automatic	Dehradun	Silver	First	Individual	1582 cc	126 bhp @ 4000 rpm	265 Nm @ 1900 rpm	FWD	4270.0	1780.0	1630.0	5.0	60.0
204	Mercedes-Benz	E-Class E350 CDI Avantgarde	1350000	2012	72000	Diesel	Automatic	Vadodara	White	Second	Individual	2987 cc	231@3800	540@1600	RWD	4868.0	1854.0	1471.0	5.0	80.0
205	Mercedes-Benz	M-Class ML 350 CDI	2682000	2015	76345	Diesel	Automatic	Gurgaon	White	First	Individual	2997 cc	254 bhp @ 3600 rpm	619 Nm @ 1600 rpm	AWD	4804.0	2141.0	1796.0	5.0	70.0
207	Hyundai	i20 Magna 1.4 CRDI	340000	2013	98500	Diesel	Manual	Chandigarh	Silver	First	Individual	1336 cc	89 bhp @ 4000 rpm	219.744 Nm @ 1500 rpm	FWD	3995.0	1710.0	1505.0	5.0	45.0
211	Maruti Suzuki	Swift DZire ZDI	550000	2014	89000	Diesel	Manual	Chennai	White	First	Individual	1248 cc	74 bhp @ 4000 rpm	190 Nm @ 2000 rpm	FWD	3995.0	1695.0	1555.0	5.0	42.0
212	Kia	Sonet GTX Plus 1.5 AT [2020-2021]	1485000	2021	13000	Diesel	Automatic	Mumbai	Red	First	Individual	1493 cc	113 bhp @ 4000 rpm	250 Nm @ 1500 rpm	FWD	3995.0	1790.0	1647.0	5.0	45.0
217	Toyota	Innova 2.4 G 7 STR [2016-2017]	2250000	2020	24549	Diesel	Manual	Jaipur	Grey	Second	Individual	2393 cc	148 bhp @ 3400 rpm	343 Nm @ 1400 rpm	RWD	4735.0	1830.0	1795.0	7.0	55.0
218	Hyundai	Creta SX Plus 1.6 AT CRDI	1050000	2017	97000	Diesel	Automatic	Zirakpur	Silver	First	Corporate	1582 cc	126 bhp @ 4000 rpm	265 Nm @ 1900 rpm	FWD	4270.0	1780.0	1630.0	5.0	60.0
219	Toyota	Fortuner 2.8 4x2 AT [2016-2020]	3600000	2018	7800	Diesel	Automatic	Mumbai	White	First	Individual	2755 cc	174 bhp @ 3400 rpm	450 Nm @ 1600 rpm	RWD	4795.0	1855.0	1835.0	7.0	80.0
223	Tata	Safari XZA Plus 6S Adventure New	2395000	2021	13594	Diesel	Automatic	Bangalore	Blue	First	Individual	1956 cc	168 bhp @ 3750 rpm	350 Nm @ 1750 rpm	FWD	4661.0	1894.0	1786.0	6.0	50.0
224	Audi	A6 2.0 TDI Premium	1775000	2014	75000	Diesel	Automatic	Ahmedabad	White	First	Individual	1968 cc	177 bhp @ 3750 rpm	380 Nm @ 1750 rpm	FWD	4915.0	1874.0	1455.0	5.0	65.0
225	Maruti Suzuki	Ritz Vdi BS-IV	275000	2011	65000	Diesel	Manual	Mumbai	Silver	First	Individual	1248 cc	75@4000	190@2000		3715.0	1680.0	1620.0	5.0	43.0
227	Maruti Suzuki	Swift ZDi	425000	2013	26000	Diesel	Manual	Delhi	White	First	Individual	1248 cc	74 bhp @ 4000 rpm	190 Nm @ 2000 rpm	FWD	3850.0	1695.0	1530.0	5.0	42.0
228	Mahindra	Scorpio S9 2WD 7 STR	1475000	2020	78000	Diesel	Manual	Yamunanagar	White	First	Individual	2179 cc	140 bhp @ 3750 rpm	320 Nm @ 1500 rpm	RWD	4456.0	1820.0	1995.0	7.0	60.0
229	Toyota	Innova 2.8 GX AT 7 STR [2016-2020]	1580000	2018	115000	Diesel	Automatic	Delhi	Beige	First	Individual	2755 cc	172 bhp @ 3400 rpm	360 Nm @ 1200 rpm	RWD	4735.0	1830.0	1795.0	7.0	55.0
231	Mercedes-Benz	GLE 250 d	5850000	2019	31000	Diesel	Automatic	Mumbai	Grey	First	Corporate	2143 cc	201 bhp @ 3800 rpm	500 Nm @ 1600 rpm	AWD	4819.0	2141.0	1796.0	5.0	93.0
232	Jeep	Compass Longitude Plus 2.0 Diesel 4x4 AT	1900000	2020	41736	Diesel	Automatic	Ahmedabad	Grey	First	Individual	1956 cc	171 bhp @ 3750 rpm	350 Nm @ 1750 rpm	AWD	4395.0	1818.0	1640.0	5.0	60.0
233	Maserati	Levante Diesel	9000000	2017	40000	Diesel	Automatic	Chennai	White	Second	Individual	2979 cc	275 bhp @ 4000 rpm	600 Nm @ 2000 rpm	AWD	5005.0	1981.0	1693.0	5.0	80.0
234	Toyota	Fortuner 2.8 4x2 AT [2016-2020]	3550000	2020	55000	Diesel	Automatic	Delhi	Black	First	Corporate	2755 cc	174 bhp @ 3400 rpm	450 Nm @ 1600 rpm	RWD	4795.0	1855.0	1835.0	7.0	80.0
236	Toyota	Innova GX 2.4 AT 7 STR	2425000	2022	11000	Diesel	Automatic	Agra	Black	First	Individual	2393 cc	148 bhp @ 3400 rpm	360 Nm @ 1400 rpm	RWD	4735.0	1830.0	1795.0	7.0	55.0
237	BMW	X5 xDrive 30d	5811000	2018	24690	Diesel	Automatic	Mumbai	Blue	First	Individual	2993 cc	258 bhp @ 4000 rpm	560 Nm @ 1500 rpm	AWD	4886.0	1938.0	1762.0	7.0	
238	Toyota	Fortuner 3.0 MT	750000	2011	117000	Diesel	Manual	Agra	White	Second	Individual	2982 cc	171@3600	343@1400	AWD	4695.0	1840.0	1850.0	7.0	80.0
239	Audi	Q7 35 TDI Premium + Sunroof	2200000	2014	95000	Diesel	Automatic	Lucknow	White	First	Individual	2967 cc	241 bhp @ 3800 rpm	550 Nm @ 1750 rpm	AWD	5089.0	1983.0	1737.0	7.0	100.0
243	Maruti Suzuki	Swift VDi AMT [2018-2019]	699000	2018	43000	Diesel	Automatic	Mumbai	Red	First	Individual	1248 cc	74 bhp @ 4000 rpm	190 Nm @ 2000 rpm	FWD	3840.0	1735.0	1530.0	5.0	37.0
